"","PN01205PM","PN01206PM","PN01207PM","PN01208PM","PN01209PM","PN01210PM","PN01211PM","PN01212PM","PN01213PM","PN01247PM","PN01248PM"
"","Tipo de cambio - promedio del periodo (S/ por US$) - Interbancario - Compra","Tipo de cambio - promedio del periodo (S/ por US$) - Interbancario - Venta","Tipo de cambio - promedio del periodo (S/ por US$) - Interbancario - Promedio","Tipo de cambio - promedio del periodo (S/ por US$) - Bancario - Compra","Tipo de cambio - promedio del periodo (S/ por US$) - Bancario - Venta","Tipo de cambio - promedio del periodo (S/ por US$) - Bancario - Promedio","Tipo de cambio - promedio del periodo (S/ por US$) - Informal - Compra","Tipo de cambio - promedio del periodo (S/ por US$) - Informal - Venta","Tipo de cambio - promedio del periodo (S/ por US$) - Informal - Promedio","Tipo de cambio - promedio del periodo (S/ por US$) - Promedio del Sistema Bancario - var% mensual","Tipo de cambio - promedio del periodo (S/ por US$) - Promedio del Sistema Bancario - var% 12 meses"
May24,3.72944545454546,3.73287727272727,3.73172727272727,3.72668181818182,3.73527272727273,3.73097727272727,3.72655,3.72963181818182,3.72809090909091,0.479865833430189,1.14600469492226
Jun24,3.78483684210526,3.78837894736842,3.7867052631579,3.77973684210526,3.78952631578947,3.78463157894737,3.78155614035088,3.78458771929825,3.78307192982456,1.43807646892687,3.65878437747124
Jul24,3.76202,3.76611,3.764135,3.7593,3.7695,3.7644,3.76969333333333,3.77296666666667,3.77133,-0.534571953051161,4.52892011218171
Ago24,3.74013,3.742925,3.74185,3.7371,3.74555,3.741325,3.74278333333333,3.74582833333333,3.74430583333333,-0.612979492083742,1.21698977490021
Sep24,3.76658095238095,3.76989523809524,3.7689619047619,3.76428571428571,3.77214285714286,3.76821428571429,3.76863015873016,3.77219206349206,3.77041111111111,0.718710235392279,1.03354059471678
Oct24,3.75295909090909,3.75581363636364,3.75436363636364,3.74968181818182,3.7575,3.75359090909091,3.751775,3.75458583333333,3.75318041666667,-0.388071789834742,-2.36234437258352
Nov24,3.777445,3.780265,3.779135,3.77465,3.78305,3.77885,3.77900833333333,3.78205833333333,3.78053333333333,0.672931374804701,0.451078804296283
Dic24,3.73399473684211,3.73655789473684,3.73553684210526,3.72963157894737,3.74015789473684,3.73489473684211,3.73784210526316,3.74143859649123,3.73964035087719,-1.16319153070087,0.0324217648717365
Ene25,3.74555,3.74825454545455,3.74692272727273,3.74381818181818,3.75168181818182,3.74775,3.74944696969697,3.75218181818182,3.75081439393939,0.344193452926039,0.21232301110329
Feb25,3.69524,3.69817,3.69685,3.69335,3.70205,3.6977,3.70158166666667,3.70391,3.70274583333333,-1.33546794743512,-3.38643956030273
Mar25,3.65068571428571,3.65344761904762,3.65248571428571,3.648,3.65719047619048,3.65259523809524,3.65375396825397,3.65646031746032,3.65510714285714,-1.21980587675475,-1.53542486495108
Abr25,3.697855,3.70126,3.70003,3.6955,3.7039,3.6997,3.69461666666667,3.6975,3.69605833333333,1.28962446792556,-0.362470084894611
May25,3.65799047619048,3.66086190476191,3.65991428571429,3.65533333333333,3.66495238095238,3.66014285714286,3.66065079365079,3.66115079365079,3.66090079365079,-1.06919866089521,-1.89854856801718
Jun25,3.6003,3.60388571428572,3.60219523809524,3.59833333333333,3.60947619047619,3.60390476190476,3.60783333333333,3.61063492063492,3.60923412698413,-1.5365000065052,-4.77528164294597
Jul25,3.554875,3.557945,3.556945,3.55105,3.56135,3.5562,3.55594916666667,3.55873333333333,3.55734125,-1.32369651964795,-5.5307618744023
Ago25,3.54091,3.54367,3.542385,3.53855,3.54785,3.5432,3.54011666666667,3.54295833333333,3.5415375,-0.365558742477923,-5.29558378381989
Sep25,3.50010909090909,3.50311818181818,3.50180454545455,3.49768181818182,3.50795454545455,3.50281818181818,3.50212878787879,3.50510606060606,3.50361742424242,-1.13969909070389,-7.04302048060949
Oct25,3.41188636363636,3.41502727272727,3.41322727272727,3.40972727272727,3.41845454545455,3.41409090909091,3.41480378787879,3.41743257575758,3.41611818181818,-2.53302535620662,-9.04467237433246
Nov25,3.37108,3.373755,3.37263,3.368,3.3777,3.37285,3.37174166666667,3.374175,3.37295833333333,-1.20796165623754,-10.7440094208555
Dic25,3.36534210526316,3.36778947368421,3.36686315789474,3.36194736842105,3.37152631578947,3.36673684210526,3.36492543859649,3.3672850877193,3.36610526315789,-0.181246064744652,-9.85724955258394
Ene26,3.354685,3.357325,3.356115,3.3523,3.3612,3.35675,3.35689666666667,3.35901333333333,3.357955,-0.296632691345586,-10.4329264225202
Feb26,3.355665,3.357735,3.35664,3.3527,3.36125,3.356975,3.35396833333333,3.35623166666667,3.3551,0.00670291204289625,-9.21451172350381
Mar26,3.44419545454546,3.45155,3.44835909090909,3.44181818181818,3.45172727272727,3.44677272727273,3.43837878787879,3.44193939393939,3.44015909090909,2.67495966674552,-5.63496630220222
Abr26,3.436205,3.45384,3.44349,3.4375,3.44785,3.442675,3.43702833333333,3.44063166666667,3.43883,-0.118885914360029,-6.94718490688434
May26,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
