producto,producto_id,mercado,variable,anio,mes,status,rows,raw_file,note
palta,0626,15011502,precio_prom,2018,01,ok,6,data_raw\sisap_midagri\massive\palta\precio_prom\2018\2018-01.html,Lima Metropolitana: Precio Promedio según mercado y producto. | Período: enero del Año 2018
palta,0626,15011502,precio_prom,2018,02,ok,5,data_raw\sisap_midagri\massive\palta\precio_prom\2018\2018-02.html,Lima Metropolitana: Precio Promedio según mercado y producto. | Período: febrero del Año 2018
palta,0626,15011502,precio_prom,2018,03,ok,5,data_raw\sisap_midagri\massive\palta\precio_prom\2018\2018-03.html,Lima Metropolitana: Precio Promedio según mercado y producto. | Período: marzo del Año 2018
palta,0626,15011502,precio_prom,2018,04,ok,5,data_raw\sisap_midagri\massive\palta\precio_prom\2018\2018-04.html,Lima Metropolitana: Precio Promedio según mercado y producto. | Período: abril del Año 2018
palta,0626,15011502,precio_prom,2018,05,ok,6,data_raw\sisap_midagri\massive\palta\precio_prom\2018\2018-05.html,Lima Metropolitana: Precio Promedio según mercado y producto. | Período: mayo del Año 2018
palta,0626,15011502,precio_prom,2018,06,ok,6,data_raw\sisap_midagri\massive\palta\precio_prom\2018\2018-06.html,Lima Metropolitana: Precio Promedio según mercado y producto. | Período: junio del Año 2018
palta,0626,15011502,precio_prom,2018,07,ok,7,data_raw\sisap_midagri\massive\palta\precio_prom\2018\2018-07.html,Lima Metropolitana: Precio Promedio según mercado y producto. | Período: julio del Año 2018
palta,0626,15011502,precio_prom,2018,08,ok,8,data_raw\sisap_midagri\massive\palta\precio_prom\2018\2018-08.html,Lima Metropolitana: Precio Promedio según mercado y producto. | Período: agosto del Año 2018
palta,0626,15011502,precio_prom,2018,09,ok,8,data_raw\sisap_midagri\massive\palta\precio_prom\2018\2018-09.html,Lima Metropolitana: Precio Promedio según mercado y producto. | Período: septiembre del Año 2018
palta,0626,15011502,precio_prom,2018,10,ok,8,data_raw\sisap_midagri\massive\palta\precio_prom\2018\2018-10.html,Lima Metropolitana: Precio Promedio según mercado y producto. | Período: octubre del Año 2018
palta,0626,15011502,precio_prom,2018,11,ok,8,data_raw\sisap_midagri\massive\palta\precio_prom\2018\2018-11.html,Lima Metropolitana: Precio Promedio según mercado y producto. | Período: noviembre del Año 2018
palta,0626,15011502,precio_prom,2018,12,ok,6,data_raw\sisap_midagri\massive\palta\precio_prom\2018\2018-12.html,Lima Metropolitana: Precio Promedio según mercado y producto. | Período: diciembre del Año 2018
palta,0626,15011502,precio_prom,2019,01,ok,6,data_raw\sisap_midagri\massive\palta\precio_prom\2019\2019-01.html,Lima Metropolitana: Precio Promedio según mercado y producto. | Período: enero del Año 2019
palta,0626,15011502,precio_prom,2019,02,ok,5,data_raw\sisap_midagri\massive\palta\precio_prom\2019\2019-02.html,Lima Metropolitana: Precio Promedio según mercado y producto. | Período: febrero del Año 2019
palta,0626,15011502,precio_prom,2019,03,ok,5,data_raw\sisap_midagri\massive\palta\precio_prom\2019\2019-03.html,Lima Metropolitana: Precio Promedio según mercado y producto. | Período: marzo del Año 2019
palta,0626,15011502,precio_prom,2019,04,ok,5,data_raw\sisap_midagri\massive\palta\precio_prom\2019\2019-04.html,Lima Metropolitana: Precio Promedio según mercado y producto. | Período: abril del Año 2019
