(False, 'dia', 'gmm_lima', 'palta', 'precio_prom', 78, 'No existen resultados para los criterios elegidos.')
(False, 'dia', 'gmm_lima', 'palta', 'volumen', 78, 'No existen resultados para los criterios elegidos.')
(False, 'dia', 'gmm_lima', 'uva', 'precio_prom', 78, 'No existen resultados para los criterios elegidos.')
(False, 'dia', 'gmm_lima', 'uva', 'volumen', 78, 'No existen resultados para los criterios elegidos.')
(False, 'dia', 'gmm_lima', 'esparrago', 'precio_prom', 78, 'No existen resultados para los criterios elegidos.')
(False, 'dia', 'gmm_lima', 'esparrago', 'volumen', 78, 'No existen resultados para los criterios elegidos.')
(False, 'dia', 'mod_frutas', 'palta', 'precio_prom', 78, 'No existen resultados para los criterios elegidos.')
(False, 'dia', 'mod_frutas', 'palta', 'volumen', 78, 'No existen resultados para los criterios elegidos.')
(False, 'dia', 'mod_frutas', 'uva', 'precio_prom', 78, 'No existen resultados para los criterios elegidos.')
(False, 'dia', 'mod_frutas', 'uva', 'volumen', 78, 'No existen resultados para los criterios elegidos.')
(False, 'dia', 'mod_frutas', 'esparrago', 'precio_prom', 78, 'No existen resultados para los criterios elegidos.')
(False, 'dia', 'mod_frutas', 'esparrago', 'volumen', 78, 'No existen resultados para los criterios elegidos.')
(True, 'dia', 'mayorista2_frutas', 'palta', 'precio_prom', 1017, 'Lima Metropolitana: Precio Promedio según mercado y producto. Fecha: 07/06/2026 Producto Variedad Precio Promedio (S/. x Kg., S/. x Lt. o S/. x Unid.) Palta Palta Criolla 2.15 Palt')
(True, 'dia', 'mayorista2_frutas', 'palta', 'volumen', 1542, 'Lima Metropolitana: Volumen según mercado y producto y procedencia (sólo para volumen). Fecha: 07/06/2026 Producto Variedad Volumen (t) Provincia de Procedencia Palta Palta Criolla')
(True, 'dia', 'mayorista2_frutas', 'uva', 'precio_prom', 1167, 'Lima Metropolitana: Precio Promedio según mercado y producto. Fecha: 07/06/2026 Producto Variedad Precio Promedio (S/. x Kg., S/. x Lt. o S/. x Unid.) Uva Uva Alfonso Lavalett 3.55')
(False, 'dia', 'mayorista2_frutas', 'uva', 'volumen', 78, 'No existen resultados para los criterios elegidos.')
(False, 'dia', 'mayorista2_frutas', 'esparrago', 'precio_prom', 78, 'No existen resultados para los criterios elegidos.')
(False, 'dia', 'mayorista2_frutas', 'esparrago', 'volumen', 78, 'No existen resultados para los criterios elegidos.')
(False, 'dia', 'santa_anita', 'palta', 'precio_prom', 78, 'No existen resultados para los criterios elegidos.')
(False, 'dia', 'santa_anita', 'palta', 'volumen', 78, 'No existen resultados para los criterios elegidos.')
(False, 'dia', 'santa_anita', 'uva', 'precio_prom', 78, 'No existen resultados para los criterios elegidos.')
(False, 'dia', 'santa_anita', 'uva', 'volumen', 78, 'No existen resultados para los criterios elegidos.')
(False, 'dia', 'santa_anita', 'esparrago', 'precio_prom', 78, 'No existen resultados para los criterios elegidos.')
(False, 'dia', 'santa_anita', 'esparrago', 'volumen', 78, 'No existen resultados para los criterios elegidos.')
(False, 'mensual', 'gmm_lima', 'palta', 'precio_prom', 78, 'No existen resultados para los criterios elegidos.')
(False, 'mensual', 'gmm_lima', 'palta', 'volumen', 78, 'No existen resultados para los criterios elegidos.')
(False, 'mensual', 'gmm_lima', 'uva', 'precio_prom', 78, 'No existen resultados para los criterios elegidos.')
(False, 'mensual', 'gmm_lima', 'uva', 'volumen', 78, 'No existen resultados para los criterios elegidos.')
(True, 'mensual', 'gmm_lima', 'esparrago', 'precio_prom', 641, 'Lima Metropolitana: Precio Promedio según mercado y producto. Período: junio del Año 2025 Fecha Esparrago Precio Promedio (S/. x Kg., S/. x Lt. o S/. x Unid.) JUN-2025 7.33 Fuente:')
(True, 'mensual', 'gmm_lima', 'esparrago', 'volumen', 765, 'Lima Metropolitana: Volumen según mercado y producto y procedencia (sólo para volumen). Período: junio del Año 2025 Fecha Esparrago Volumen (t) JUN-2025 29.00 (*) Procedencia Desco')
(False, 'mensual', 'mod_frutas', 'palta', 'precio_prom', 78, 'No existen resultados para los criterios elegidos.')
(False, 'mensual', 'mod_frutas', 'palta', 'volumen', 78, 'No existen resultados para los criterios elegidos.')
(False, 'mensual', 'mod_frutas', 'uva', 'precio_prom', 78, 'No existen resultados para los criterios elegidos.')
(False, 'mensual', 'mod_frutas', 'uva', 'volumen', 78, 'No existen resultados para los criterios elegidos.')
(False, 'mensual', 'mod_frutas', 'esparrago', 'precio_prom', 78, 'No existen resultados para los criterios elegidos.')
(False, 'mensual', 'mod_frutas', 'esparrago', 'volumen', 78, 'No existen resultados para los criterios elegidos.')
(True, 'mensual', 'mayorista2_frutas', 'palta', 'precio_prom', 1767, 'Lima Metropolitana: Precio Promedio según mercado y producto. Período: junio del Año 2025 Fecha Palta Criolla Palta Dedo Palta Ettinger Palta Fuerte Palta Hall Palta Hass Palta Nav')
(True, 'mensual', 'mayorista2_frutas', 'palta', 'volumen', 1514, 'Lima Metropolitana: Volumen según mercado y producto y procedencia (sólo para volumen). Período: junio del Año 2025 Fecha Palta Criolla Palta Dedo Palta Ettinger Palta Fuerte Palta')
(True, 'mensual', 'mayorista2_frutas', 'uva', 'precio_prom', 2251, 'Lima Metropolitana: Precio Promedio según mercado y producto. Período: junio del Año 2025 Fecha Uva Alfonso Lavalett Uva Arra Uva Borgoña Uva Fley Uva Italia Uva Palestina Uva Piro')
(True, 'mensual', 'mayorista2_frutas', 'uva', 'volumen', 1836, 'Lima Metropolitana: Volumen según mercado y producto y procedencia (sólo para volumen). Período: junio del Año 2025 Fecha Uva Alfonso Lavalett Uva Arra Uva Borgoña Uva Fley Uva Ita')
(False, 'mensual', 'mayorista2_frutas', 'esparrago', 'precio_prom', 78, 'No existen resultados para los criterios elegidos.')
(False, 'mensual', 'mayorista2_frutas', 'esparrago', 'volumen', 78, 'No existen resultados para los criterios elegidos.')
(False, 'mensual', 'santa_anita', 'palta', 'precio_prom', 78, 'No existen resultados para los criterios elegidos.')
(False, 'mensual', 'santa_anita', 'palta', 'volumen', 78, 'No existen resultados para los criterios elegidos.')
(False, 'mensual', 'santa_anita', 'uva', 'precio_prom', 78, 'No existen resultados para los criterios elegidos.')
(False, 'mensual', 'santa_anita', 'uva', 'volumen', 78, 'No existen resultados para los criterios elegidos.')
(False, 'mensual', 'santa_anita', 'esparrago', 'precio_prom', 78, 'No existen resultados para los criterios elegidos.')
(False, 'mensual', 'santa_anita', 'esparrago', 'volumen', 78, 'No existen resultados para los criterios elegidos.')
(False, 'anual', 'gmm_lima', 'palta', 'precio_prom', 78, 'No existen resultados para los criterios elegidos.')
(False, 'anual', 'gmm_lima', 'palta', 'volumen', 78, 'No existen resultados para los criterios elegidos.')
(False, 'anual', 'gmm_lima', 'uva', 'precio_prom', 78, 'No existen resultados para los criterios elegidos.')
(False, 'anual', 'gmm_lima', 'uva', 'volumen', 78, 'No existen resultados para los criterios elegidos.')
(True, 'anual', 'gmm_lima', 'esparrago', 'precio_prom', 627, 'Lima Metropolitana: Precio Promedio según mercado y producto. Período: Año 2025 Fecha Esparrago Precio Promedio (S/. x Kg., S/. x Lt. o S/. x Unid.) 2025 7.18 Fuente: GRAN MERCADO ')
(True, 'anual', 'gmm_lima', 'esparrago', 'volumen', 752, 'Lima Metropolitana: Volumen según mercado y producto y procedencia (sólo para volumen). Período: Año 2025 Fecha Esparrago Volumen (t) 2025 320.00 (*) Procedencia Desconocida: Cuand')
(False, 'anual', 'mod_frutas', 'palta', 'precio_prom', 78, 'No existen resultados para los criterios elegidos.')
(False, 'anual', 'mod_frutas', 'palta', 'volumen', 78, 'No existen resultados para los criterios elegidos.')
(False, 'anual', 'mod_frutas', 'uva', 'precio_prom', 78, 'No existen resultados para los criterios elegidos.')
(False, 'anual', 'mod_frutas', 'uva', 'volumen', 78, 'No existen resultados para los criterios elegidos.')
(False, 'anual', 'mod_frutas', 'esparrago', 'precio_prom', 78, 'No existen resultados para los criterios elegidos.')
(False, 'anual', 'mod_frutas', 'esparrago', 'volumen', 78, 'No existen resultados para los criterios elegidos.')
(True, 'anual', 'mayorista2_frutas', 'palta', 'precio_prom', 2079, 'Lima Metropolitana: Precio Promedio según mercado y producto. Período: Año 2025 Fecha Palta Criolla Palta Dedo Palta Ettinger Palta Fuerte Palta Hall Palta Hass Palta Naval Palta Q')
(True, 'anual', 'mayorista2_frutas', 'palta', 'volumen', 1726, 'Lima Metropolitana: Volumen según mercado y producto y procedencia (sólo para volumen). Período: Año 2025 Fecha Palta Criolla Palta Dedo Palta Ettinger Palta Fuerte Palta Hall Palt')
(True, 'anual', 'mayorista2_frutas', 'uva', 'precio_prom', 3203, 'Lima Metropolitana: Precio Promedio según mercado y producto. Período: Año 2025 Fecha Uva Alfonso Lavalett Uva Arra Uva Borgoña Uva Candy Uva Crimson Uva Flame Uva Fley Uva Italia ')
(True, 'anual', 'mayorista2_frutas', 'uva', 'volumen', 2475, 'Lima Metropolitana: Volumen según mercado y producto y procedencia (sólo para volumen). Período: Año 2025 Fecha Uva Alfonso Lavalett Uva Arra Uva Borgoña Uva Candy Uva Crimson Uva ')
(False, 'anual', 'mayorista2_frutas', 'esparrago', 'precio_prom', 78, 'No existen resultados para los criterios elegidos.')
(False, 'anual', 'mayorista2_frutas', 'esparrago', 'volumen', 78, 'No existen resultados para los criterios elegidos.')
(False, 'anual', 'santa_anita', 'palta', 'precio_prom', 78, 'No existen resultados para los criterios elegidos.')
