Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","604","Peru","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2024","2024","ha","71","A","Official figure",""
"QCL","Crops and livestock products","604","Peru","5312","Area harvested","01341","Apples","2024","2024","ha","6864","A","Official figure",""
"QCL","Crops and livestock products","604","Peru","5312","Area harvested","01343","Apricots","2024","2024","ha","113","E","Estimated value",""
"QCL","Crops and livestock products","604","Peru","5312","Area harvested","01216","Artichokes","2024","2024","ha","7057","A","Official figure",""
"QCL","Crops and livestock products","604","Peru","5312","Area harvested","01211","Asparagus","2024","2024","ha","28500","A","Official figure",""
"QCL","Crops and livestock products","604","Peru","5312","Area harvested","01311","Avocados","2024","2024","ha","63111","A","Official figure",""
"QCL","Crops and livestock products","604","Peru","5312","Area harvested","01312","Bananas","2024","2024","ha","175712","A","Official figure",""
"QCL","Crops and livestock products","604","Peru","5312","Area harvested","0115","Barley","2024","2024","ha","119255","A","Official figure",""
"QCL","Crops and livestock products","604","Peru","5312","Area harvested","01701","Beans, dry","2024","2024","ha","65260","A","Official figure",""
"QCL","Crops and livestock products","604","Peru","5312","Area harvested","01355.01","Blueberries","2024","2024","ha","28157","E","Estimated value",""
"QCL","Crops and livestock products","604","Peru","5312","Area harvested","01702","Broad beans and horse beans, dry","2024","2024","ha","53874","A","Official figure",""
"QCL","Crops and livestock products","604","Peru","5312","Area harvested","01243","Broad beans and horse beans, green","2024","2024","ha","12885","A","Official figure",""
"QCL","Crops and livestock products","604","Peru","5312","Area harvested","01212","Cabbages","2024","2024","ha","2323","A","Official figure",""
"QCL","Crops and livestock products","604","Peru","5312","Area harvested","01229","Cantaloupes and other melons","2024","2024","ha","1534","A","Official figure",""
"QCL","Crops and livestock products","604","Peru","5312","Area harvested","01251","Carrots and turnips","2024","2024","ha","9245","A","Official figure",""
"QCL","Crops and livestock products","604","Peru","5312","Area harvested","01372","Cashew nuts, in shell","2024","2024","ha","468","A","Official figure",""
"QCL","Crops and livestock products","604","Peru","5312","Area harvested","01520.01","Cassava, fresh","2024","2024","ha","112068","A","Official figure",""
