,,,,,,,
Cuadro G1,,,,,,,
"EXPORTACIÓN DEFINITIVA SEGÚN SECTOR ECONÓMICO, 2026 ",,,,,,,
(Valor FOB expresado en miles de US$),,,,,,,
,,,,,,,
Sector Económico,,,,Enero,Febrero,Marzo,Total
,,,,,,,
,,,,,,,
,Total general,,,"7,507,905.8","6,650,110.8","6,756,929.7","20,914,946.3"
,,,,,,,
,Productos Tradicionales,,,"5,484,201.2","4,908,750.8","5,074,070.4","15,467,022.4"
,,Minero,,"4,837,810.3","4,343,882.1","4,431,568.8","13,613,261.2"
,,,Cobre,"1,467,487.8","1,397,124.1","1,511,675.9","4,376,287.8"
,,,Hierro,"192,703.0","169,788.9","120,965.4","483,457.3"
,,,Plata,"28,586.3","30,117.6","31,988.5","90,692.4"
,,,Plomo 1/,"420,978.7","304,757.0","269,396.5","995,132.2"
,,,Zinc,"172,576.7","122,349.2","94,945.8","389,871.8"
,,,Oro,"2,409,226.5","2,137,971.9","2,233,998.9","6,781,197.2"
,,,Estaño 2/,"67,254.0","84,139.4","65,127.9","216,521.3"
,,,Resto 3/,"78,997.2","97,633.9","103,470.1","280,101.2"
,,Pesquero tradicional,,"303,623.4","283,505.4","305,150.5","892,279.3"
,,,Harina de pescado,"233,046.7","225,340.2","182,212.6","640,599.4"
,,,Aceite de pescado,"70,576.8","58,165.2","122,937.9","251,679.9"
,,Petroleo y gas natural,,"243,672.5","238,803.7","312,274.8","794,751.0"
,,,Crudo,"13,181.0","24,139.5","21,812.4","59,133.0"
,,,Derivados,"121,686.8","108,511.0","186,669.7","416,867.5"
,,,Gas natural,"108,804.7","106,153.2","103,792.7","318,750.5"
,,Agricola,,"99,095.0","42,559.6","25,076.2","166,730.8"
,,,Algodon,32.4,42.3,68.9,143.6
,,,Azucar,806.7,"1,058.7","4,131.9","5,997.4"
,,,Cafe,"93,672.7","38,532.4","16,333.5","148,538.6"
,,,Resto 4/,"4,583.1","2,926.2","4,541.9","12,051.2"
,Productos no Tradicionales,,,"1,997,428.8","1,719,505.8","1,651,719.0","5,368,653.5"
,,Agropecuario,,"1,200,915.6","804,258.1","752,739.7","2,757,913.4"
,,Textil,,"125,735.6","125,841.0","136,493.5","388,070.1"
,,Pesquero no tradicional,,"168,341.8","206,633.5","208,144.7","583,120.1"
,,Quimico,,"195,170.3","210,774.5","211,474.1","617,418.9"
,,Metal-mecanico,,"52,610.4","50,978.7","59,051.8","162,640.9"
,,Sidero-metalurgico,,"160,118.4","201,405.8","173,447.0","534,971.2"
,,Mineria no metalica,,"60,527.5","84,600.4","77,908.5","223,036.3"
,,Resto,,"34,009.3","35,013.7","32,459.6","101,482.6"
,,,Artesanias,272.6,188.1,155.9,616.6
,,,Maderas y papeles,"22,753.4","23,142.7","21,479.9","67,376.0"
,,,Pieles y cueros,928.7,259.2,551.2,"1,739.0"
,,,Varios (incluye joyeria),"10,054.7","11,423.7","10,272.6","31,751.0"
,Otros 5/,,,"26,275.9","21,854.2","31,140.3","79,270.4"
,,,,,,,
,,,,,,,
Nota:,,,,,,,
-,Se consideran las exportaciones regularizadas que fueron embarcadas en los meses de enero a marzo del año 2026.,,,,,,
-,"En el caso de concentrados de minerales metalíferos, el plazo de la regularización de la exportación se amplía hasta siete meses según lo establece el Decreto Supremo Nº367-2019-EF Art. 83, reglamentado en el Procedimiento General DESPA PG 02 - Art. A.7 Inc 1 de SUNAT. Por esta razón la información del año 2026 debe considerarse como preliminar y esta se actualizará una vez se regularice la totalidad de dichas operaciones.",,,,,,
1/,Incluye contenidos de plata.,,,,,,
2/,No incluye las exportaciones temporales de Minsur S.A. (ventas en consignación).,,,,,,
3/,"Incluye molibdeno, bismuto y tungsteno principalmente.",,,,,,
4/,"Incluye hoja de coca y derivados, melazas, lanas y pieles.",,,,,,
5/,Incluye abastecimientos de alimentos y combustibles a naves extranjeras.,,,,,,
,,,,,,,
Fuente: Superintendencia Nacional de Aduanas y de Administración Tributaria - SUNAT,,,,,,,
Elaboración: SUNAT - Oficina Nacional de Planeamiento y Estudios Económicos.,,,,,,,
